Date,lag_01,lag_02,lag_03,x_01,x_02,y_01,y_02,y_03,y_04,y_05,y_06,y_07
5/29/2015,-0.378481197,-0.599788093,-0.005942274,-0.68698378,-0.18657022,-0.230563591,-0.142464736,-0.210576843,-0.50124248,-0.026661095,-0.285993542,1.863924958
6/1/2015,-0.21006612,-0.34751948,0.296667717,-0.567902954,-0.214440847,-0.235975984,-0.097302258,-0.147458186,-0.371028234,-0.028918664,-0.160766553,1.305619255
6/2/2015,-0.234261102,-0.396326773,0.429946916,-0.582838312,-0.303919381,-0.480718101,-0.109643663,-0.175377754,-0.512798117,-0.03002291,-0.234684993,1.125385784
6/3/2015,-0.043344606,0.032734489,2.21882767,-0.705845011,0.131202687,0.204738636,-0.070562359,-0.031707011,-0.105712504,-0.028148486,0.056132882,3.626335971
6/4/2015,-0.327747168,-0.497693829,0.418359677,-0.988184545,-0.244722441,-0.365005825,-0.211449956,-0.315621008,-0.551938188,-0.035797026,-0.342622728,1.300099884
6/5/2015,-0.033555304,-0.014279807,1.35268418,-0.543694377,0.036853301,0.100431325,-0.068388349,-0.083365259,-0.114014416,-0.02559158,-0.032254603,1.907044416
6/8/2015,-0.194165605,-0.32206375,0.877964538,0.686177794,-0.033041235,-0.057395217,-0.106731823,-0.237899802,-0.358460148,-0.028970223,-0.209244747,0.776460061
6/9/2015,-0.23593963,-0.412145894,0.599706384,0.699356543,-0.053791303,-0.169154328,-0.117480067,-0.28675297,-0.433843697,-0.030072964,-0.321061233,0.352922301
6/10/2015,-0.033769077,0.050142634,2.422194312,0.867014989,0.388833375,0.465332919,-0.062762827,-0.065800718,-0.094855163,-0.02907745,0.005490007,2.899611587
6/11/2015,-0.18586208,-0.26824735,1.304544639,0.051049657,0.032150843,0.011041901,-0.111111091,-0.200832838,-0.314774243,-0.032046674,-0.1802427,1.46596117
6/12/2015,-0.113616483,-0.129520937,0.785151458,-0.22553463,-0.037476975,-0.060467116,-0.049139979,-0.110090457,-0.205138636,-0.026919076,-0.154189808,1.650995095
6/15/2015,-0.085553617,-0.095949358,1.29784229,-0.022753454,0.0614282,0.257729856,-0.054495375,-0.087570019,-0.152008929,-0.027949129,-0.067962972,1.968130482
6/16/2015,-0.016467286,-0.045591957,1.06161647,0.23305808,0.111267261,0.28131921,-0.037604106,-0.007245563,-0.111731683,-0.02950313,0.035751691,0.95532125
6/17/2015,-0.131105283,-0.25607141,0.540685561,0.140581199,-0.020651847,0.251312328,-0.053876773,-0.072798556,-0.294651658,-0.023404321,-0.026188743,0.506257196
6/18/2015,-0.018351712,0.039978639,1.983892245,0.029384294,0.246230547,0.510962363,-0.006694237,0.041864274,-0.016866722,-0.030011269,0.170890978,3.020981571
6/19/2015,-0.253705456,-0.45532386,0.147710358,-0.005975824,-0.190365897,-0.127261939,-0.10561737,-0.109191342,-0.495051604,-0.025993512,-0.159469369,-0.040008105
